,Beer_Name,Beer_ID,Brew_ID,ABV,IBU,Style,Ounces,Brewery_Name,City,State
858,Kilt Lifter Scottish-Style Ale (2009),179,161,0.06,21,Scottish Ale,12,Four Peaks Brewing Company,Tempe, AZ
859,Sunbru Kölsch,178,161,0.052,45,Kölsch,12,Four Peaks Brewing Company,Tempe, AZ
860,Four String Vanilla Porter,2428,106,0.06,75,American Porter,12,Four String Brewing Company,Columbus, OH
861,Suncaster Summer Wheat,2427,106,0.05,28,American Pale Wheat Ale,12,Four String Brewing Company,Columbus, OH
862,Brass Knuckle Pale Ale,2425,106,0.057,36,American Pale Ale (APA),12,Four String Brewing Company,Columbus, OH
863,Big Star White IPA,2424,106,0.07,70,American White IPA,12,Four String Brewing Company,Columbus, OH
864,Old Detroit,1998,254,0.056,21,American Amber / Red Ale,12,Frankenmuth Brewery,Frankenmuth, MI
865,Batch 69 IPA,1556,254,0.069,69,American IPA,12,Frankenmuth Brewery,Frankenmuth, MI
866,Twisted Helles Summer Lager,1208,254,0.055,18,Munich Helles Lager,12,Frankenmuth Brewery,Frankenmuth, MI
867,OktoberFiesta,2527,67,0.053,27,,12,Freetail Brewing Company,San Antonio, TX
868,Texicali ,2526,67,0.065,33,American Brown Ale,12,Freetail Brewing Company,San Antonio, TX
869,Pinata Protest,2525,67,0.06,60,Witbier,12,Freetail Brewing Company,San Antonio, TX
870,Bat Outta Helles,2524,67,0.042,20,Munich Helles Lager,12,Freetail Brewing Company,San Antonio, TX
871,Original,2523,67,0.068,70,American Amber / Red Ale,12,Freetail Brewing Company,San Antonio, TX
872,Rye Wit,2522,67,0.042,10,Witbier,12,Freetail Brewing Company,San Antonio, TX
873,Soul Doubt,2521,67,0.059,70,American IPA,12,Freetail Brewing Company,San Antonio, TX
874,Yo Soy Un Berliner,2520,67,0.044,5,Berliner Weissbier,12,Freetail Brewing Company,San Antonio, TX
